国际频道,#genre#
全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
韩国EBS 第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS 少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
韩国UBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREA YTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国阿里郎WORLDworld,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
TBS News Bird,http://tbs1.media.ylive.jp/d6d710ed2c204b4cb9ffea55a16a5f40/ap-northeast-1/5690807595001/profile_0/chunklist.m3u8
KOREA YTN Science,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
Luxury World,http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
CPAC,http://bcoveliveios-i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
BabyFirst,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
CGTN 国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 记录频道,http://live.cgtn.com/1000d/prog_index.m3u8
CGTN 法语频道,http://live.cgtn.com/1000f/prog_index.m3u8
中国环球,http://live.cgtn.com/1000/prog_index.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
