综合影视,#genre#
恐怖 丧尸 鬼片 灾难,http://tx2play1.douyucdn.cn/live/263824roapeJ4Anu_8000.flv
【黑帮大片】山鸡哥重现江湖,http://aldirect.rtmp.huya.com/backsrc/30765679-2523417522-10837995731143360512-2777068634-10057-A-0-1.m3u8
林正英搞笑电影系列,http://aldirect.rtmp.huya.com/backsrc/94525224-2460686034-10568566041753944064-2789274542-10057-A-0-1.m3u8
【周星星】精彩电影无间断,http://al.rtmp.huya.com/src/94525224-2460685313-10568562945082523648-2789274524-10057-A-0-1.m3u8
邵氏电影,https://cn-lnsy-cu-live-01.live-play.acgvideo.com/live-bvc/164219/live_97065163_17925468.m3u8
极限挑战·男人帮爆笑来袭,http://aldirect.rtmp.huya.com/backsrc/28466698-2689655562-11551982676294500352-2847687628-10057-A-0-1.m3u8
爱情公寓,http://aldirect.rtmp.huya.com/backsrc/30765679-2523417493-10837995606589308928-2777071594-10057-A-0-1.m3u8
武林外传,http://aldirect.rtmp.huya.com/backsrc/29141112-2689670670-11552047564660408320-2847687630-10057-A-0-1.m3u8
家有儿女,http://aldirect.rtmp.huya.com/backsrc/29169025-2686221252-11537232427160174592-2847687508-10057-A-0-1.m3u8
经典频道,http://stream.guihet.com/migu/index.php?id=625542369
周星驰经典轮播,http://3954.liveplay.myqcloud.com/live/3954_382995145.flv
经典 科幻 动作 灾难 巨兽,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi.flv
电【周星驰】星爷 华语 经典 电影 神乐,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq.flv
【神乐】华语 经典 电影 刘德华 周星驰,http://tx2play1.douyucdn.cn/live/85894rmovieChow.flv
【贝爷影厅】经典 科幻 动作 灾难 巨兽,http://tx2play1.douyucdn.cn/live/252802rbQGaZXUQi.flv
电影可乐 欧美 电影 科幻 经典 动作,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
电影【小鸽陪看】动作 枪战 华语 经典,http://tx2play1.douyucdn.cn/live/3928r9p0BHMDG.flv
小品轮播,http://aldirect.rtmp.huya.com/huyalive/29106097-2689281338-11550375396453122048-2777038134-10057-A-0-1.m3u8
【动漫】热血 木叶忍者 草帽路飞 青春,http://tx2play1.douyucdn.cn/live/206858rtestxjl.flv
【苹果曼曼】我们的童年,http://tx2play1.douyucdn.cn/live/1174353ritsYBHoe.flv
综艺24H,http://tx2play1.douyucdn.cn/live/131977rUvKJTw5sL_8000.flv?uuid=
MTV音乐,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
女团 直拍 饭拍 24h,http://tx2play1.douyucdn.cn/live/231464rjqCxY4llZ.flv
Kpop女团24h,http://tx2play1.douyucdn.cn/live/329667rVyd6kR9R9.flv
【男团】精选二次元韩国现场,http://tx2play1.douyucdn.cn/live/455891rGvYUCFBUv.flv
【一战 二战 历史 军事】,http://tx2play1.douyucdn.cn/live/4870914r49PlhyWK.flv
