综合游戏,#genre#
英雄联盟赛事,http://aldirect.rtmp.huya.com/backsrc/78941969-2559461593-10992803837303062528-2693342886-10057-A-0-1.m3u8
暴雪游戏频道,http://aldirect.rtmp.huya.com/backsrc/78941969-2538029318-10900752917099184128-2847735340-10057-A-0-1.m3u8
PDL发展联赛,http://aldirect.rtmp.huya.com/src/78941969-2703453392-11611243904900268032-3120368204-10057-A-0-1.m3u8
主机游戏·老鬼,http://aldirect.rtmp.huya.com/backsrc/117432206-2553645627-10967824453538414592-157822102-10057-A-0-1.m3u8
主机游戏·小宇热游,http://aldirect.rtmp.huya.com/backsrc/17226001-17226001-73985110935863296-1935121862-10057-A-0-1.m3u8
主机游戏·狂鸟丶Y阳,http://aldirect.rtmp.huya.com/backsrc/98605022-98605022-423505344711360512-704771112-10057-A-0-1.m3u8
主机游戏·一个人的浪漫,http://aldirect.rtmp.huya.com/backsrc/1199530109346-1199530109346-5300993643409047552-2399060342148-10057-A-0-1.m3u8
主机游戏·先生,http://al.rtmp.huya.com/src/91890079-91890079-394664884131856384-1509800-10057-A-0-1.m3u8
主机游戏·寅子的游戏教室,http://tx2play1.douyucdn.cn/live/71415ryinzitv_8000p.flv
主机游戏·霸哥哥,http://aldirect.rtmp.huya.com/backsrc/75286827-75286827-323354459784609792-3694162032-10057-A-0-1.m3u8
恐怖游戏·豆腐,http://tx2play1.douyucdn.cn/live/477076rs3fJRsBCZ_8000.flv
恐怖游戏·狂鸟丶米苏,http://aldirect.rtmp.huya.com/backsrc/1420375801-1420375801-6100467613324804096-4562186316-10057-A-0-1.m3u8
恐怖游戏·猛男小松鼠,http://aldirect.rtmp.huya.com/backsrc/1199512029288-1199512029288-5223340385589264384-2399024182032-10057-A-0-1.m3u8
恐怖游戏·默陌,http://tx2play1.douyucdn.cn/live/4872710rbQiTyrtM_8000.flv
网游逆战·壹玖-老猫,http://aldirect.rtmp.huya.com/backsrc/1423415488-1423415488-6113522969579880448-2670501706-10057-A-0-1.m3u8
网游逆战·夜崽崽,http://aldirect.rtmp.huya.com/backsrc/24902339-24902339-106954731598905344-606763766-10057-A-0-1.m3u8
三亿火线·白鲨Ayom,http://tx2play1.douyucdn.cn/live/12821rmHNB7Jis.flv
主机游戏·狂鸟丶愿凡,http://aldirect.rtmp.huya.com/backsrc/33900931-33900931-145603389948952576-161483998-10057-A-0-1.m3u8
