网课测试,#genre#
企鹅辅导一年级,http://live-edu.wasu.tv/live/QiEFuDao-lv1.m3u8
企鹅辅导二年级,http://live-edu.wasu.tv/live/QiEFuDao-lv2.m3u8
企鹅辅导三年级,http://live-edu.wasu.tv/live/QiEFuDao-lv3.m3u8
企鹅辅导四年级,http://live-edu.wasu.tv/live/QiEFuDao-lv4.m3u8
企鹅辅导五年级,http://live-edu.wasu.tv/live/QiEFuDao-lv5.m3u8
企鹅辅导六年级,http://live-edu.wasu.tv/live/QiEFuDao-lv6.m3u8
企鹅辅导初一,http://live-edu.wasu.tv/live/QiEFuDao-lv7.m3u8
企鹅辅导初二,http://live-edu.wasu.tv/live/QiEFuDao-lv8.m3u8
企鹅辅导初三,http://live-edu.wasu.tv/live/QiEFuDao-lv9.m3u8
企鹅辅导高一,https://live-edu.wasu.tv/live/QiEFuDao-lv10.m3u8
企鹅辅导高二,https://live-edu.wasu.tv/live/QiEFuDao-lv11.m3u8
企鹅辅导高三,https://live-edu.wasu.tv/live/QiEFuDao-lv12.m3u8
